"COU","Country","WASTE","Waste category","WST_OPER","Waste management operations","UNIT","Unit of measure","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2000","2000",4.517,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2005","2005",8.425,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2010","2010",13.489,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2011","2011",14.629,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2012","2012",15.677,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2013","2013",16.626,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2014","2014",17.501,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2015","2015",18.267,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2016","2016",18.908,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2017","2017",19.409,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2018","2018",19.839,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2019","2019",15.832,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2020","2020",20.434,,
"AUS","Australia","EE6","Total waste","GEN","Waste generated","KG_HAB","Kilograms per capita","2021","2021",22.418,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2000","2000",16.349,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2005","2005",24.591,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2010","2010",31.139,,
"AUS","Australia","EE6","Total waste","MKT","Products put on the market","KG_HAB","Kilograms per capita","2011","2011",32.518,,
